State,District,Median Income,College%
Missouri,"Congressional District 2 (119th Congress), Missouri",63489,29.3
Missouri,"Congressional District 3 (119th Congress), Missouri",55359,22.2
Missouri,"Congressional District 4 (119th Congress), Missouri",46516,16.1
Missouri,"Congressional District 5 (119th Congress), Missouri",50523,22.2
Missouri,"Congressional District 6 (119th Congress), Missouri",50457,18
Missouri,"Congressional District 7 (119th Congress), Missouri",42971,17.8
Missouri,"Congressional District 8 (119th Congress), Missouri",42157,13.1
Montana,"Congressional District 1 (119th Congress), Montana",49960,26.5
Montana,"Congressional District 2 (119th Congress), Montana",47013,22
Nebraska,"Congressional District 1 (119th Congress), Nebraska",52137,23.1
Nebraska,"Congressional District 2 (119th Congress), Nebraska",55406,26.6
Nebraska,"Congressional District 3 (119th Congress), Nebraska",46887,17.2
Nevada,"Congressional District 1 (119th Congress), Nevada",44278,16.8
Nevada,"Congressional District 2 (119th Congress), Nevada",52401,19.4
Nevada,"Congressional District 3 (119th Congress), Nevada",51865,22.9
Nevada,"Congressional District 4 (119th Congress), Nevada",44583,14.2
NewHampshire,"Congressional District 1 (119th Congress), New Hampshire",61010,26.9
NewHampshire,"Congressional District 2 (119th Congress), New Hampshire",59973,22.9
NewJersey,"Congressional District 1 (119th Congress), New Jersey",60832,23.9
NewJersey,"Congressional District 2 (119th Congress), New Jersey",51012,20.2
NewJersey,"Congressional District 3 (119th Congress), New Jersey",66112,27.7
NewJersey,"Congressional District 4 (119th Congress), New Jersey",66057,26.5
NewJersey,"Congressional District 5 (119th Congress), New Jersey",75139,33.6
NewJersey,"Congressional District 6 (119th Congress), New Jersey",61029,26.4
NewJersey,"Congressional District 7 (119th Congress), New Jersey",75802,31.9
NewJersey,"Congressional District 8 (119th Congress), New Jersey",59922,24.3
NewJersey,"Congressional District 9 (119th Congress), New Jersey",53951,21.7
NewJersey,"Congressional District 10 (119th Congress), New Jersey",50786,21.2
NewJersey,"Congressional District 11 (119th Congress), New Jersey",80370,33.2
NewJersey,"Congressional District 12 (119th Congress), New Jersey",66001,25.5
NewMexico,"Congressional District 1 (119th Congress), New Mexico",51374,22.6
NewMexico,"Congressional District 2 (119th Congress), New Mexico",41244,14
NewMexico,"Congressional District 3 (119th Congress), New Mexico",45568,16.4
NewYork,"Congressional District 1 (119th Congress), New York",71512,24
NewYork,"Congressional District 2 (119th Congress), New York",60456,19.9
NewYork,"Congressional District 3 (119th Congress), New York",74574,28.6
NewYork,"Congressional District 4 (119th Congress), New York",68969,25.9
NewYork,"Congressional District 5 (119th Congress), New York",49472,18.2
NewYork,"Congressional District 6 (119th Congress), New York",50519,24
NewYork,"Congressional District 7 (119th Congress), New York",65541,29.4
NewYork,"Congressional District 8 (119th Congress), New York",51392,22
NewYork,"Congressional District 9 (119th Congress), New York",51375,24.4
NewYork,"Congressional District 10 (119th Congress), New York",86691,33.8
NewYork,"Congressional District 11 (119th Congress), New York",56551,22.3
NewYork,"Congressional District 12 (119th Congress), New York",112258,38.8
NewYork,"Congressional District 13 (119th Congress), New York",45553,19.2
NewYork,"Congressional District 14 (119th Congress), New York",47027,19.4
NewYork,"Congressional District 15 (119th Congress), New York",40994,13.1
NewYork,"Congressional District 16 (119th Congress), New York",66828,25.5
NewYork,"Congressional District 17 (119th Congress), New York",70579,26.1
NewYork,"Congressional District 18 (119th Congress), New York",59739,21.6
NewYork,"Congressional District 19 (119th Congress), New York",51571,18
NewYork,"Congressional District 20 (119th Congress), New York",62646,23.5
NewYork,"Congressional District 21 (119th Congress), New York",49908,15.5
NewYork,"Congressional District 22 (119th Congress), New York",53147,20.2
NewYork,"Congressional District 23 (119th Congress), New York",52369,18.2
NewYork,"Congressional District 24 (119th Congress), New York",49417,14.9
NewYork,"Congressional District 25 (119th Congress), New York",55904,24.1
NewYork,"Congressional District 26 (119th Congress), New York",51294,20.4
NorthCarolina,"Congressional District 1 (119th Congress), North Carolina",41335,14.6
NorthCarolina,"Congressional District 2 (119th Congress), North Carolina",62253,33.1
NorthCarolina,"Congressional District 3 (119th Congress), North Carolina",47479,18.2
NorthCarolina,"Congressional District 4 (119th Congress), North Carolina",67340,31.1
NorthCarolina,"Congressional District 5 (119th Congress), North Carolina",43416,17.3
NorthCarolina,"Congressional District 6 (119th Congress), North Carolina",50131,19.9
NorthCarolina,"Congressional District 7 (119th Congress), North Carolina",49047,22.4
NorthCarolina,"Congressional District 8 (119th Congress), North Carolina",52944,23.1
NorthCarolina,"Congressional District 9 (119th Congress), North Carolina",46019,18.3
NorthCarolina,"Congressional District 10 (119th Congress), North Carolina",50799,22.2
NorthCarolina,"Congressional District 11 (119th Congress), North Carolina",42331,21.4
NorthCarolina,"Congressional District 12 (119th Congress), North Carolina",55438,29.7
NorthCarolina,"Congressional District 13 (119th Congress), North Carolina",52936,21.3
NorthCarolina,"Congressional District 14 (119th Congress), North Carolina",51214,23.2
NorthDakota,"Congressional District (at Large) (119th Congress), North Dakota",53510,23.5
Ohio,"Congressional District 1 (119th Congress), Ohio",60788,27.4
Ohio,"Congressional District 2 (119th Congress), Ohio",48922,13.3
Ohio,"Congressional District 3 (119th Congress), Ohio",52461,27.9
Ohio,"Congressional District 4 (119th Congress), Ohio",54056,19.7
Ohio,"Congressional District 5 (119th Congress), Ohio",50320,15.7
Ohio,"Congressional District 6 (119th Congress), Ohio",44162,14.4
Ohio,"Congressional District 7 (119th Congress), Ohio",57427,23.6
Ohio,"Congressional District 8 (119th Congress), Ohio",51489,19.8
Ohio,"Congressional District 9 (119th Congress), Ohio",50393,18.4
Ohio,"Congressional District 10 (119th Congress), Ohio",50125,19
Ohio,"Congressional District 11 (119th Congress), Ohio",46300,19.6
Ohio,"Congressional District 12 (119th Congress), Ohio",52102,17.1
Ohio,"Congressional District 13 (119th Congress), Ohio",50143,21.4
Ohio,"Congressional District 14 (119th Congress), Ohio",51697,18.5
Ohio,"Congressional District 15 (119th Congress), Ohio",52835,22.5
Oklahoma,"Congressional District 1 (119th Congress), Oklahoma",49261,23.2
Oklahoma,"Congressional District 2 (119th Congress), Oklahoma",41574,14.2
Oklahoma,"Congressional District 3 (119th Congress), Oklahoma",43368,14.9
Oklahoma,"Congressional District 4 (119th Congress), Oklahoma",46643,17.3
Oklahoma,"Congressional District 5 (119th Congress), Oklahoma",52220,24.1
Oregon,"Congressional District 1 (119th Congress), Oregon",62370,28.5
Oregon,"Congressional District 2 (119th Congress), Oregon",45740,16.9
Oregon,"Congressional District 3 (119th Congress), Oregon",57126,25.5
Oregon,"Congressional District 4 (119th Congress), Oregon",46423,18.7
Oregon,"Congressional District 5 (119th Congress), Oregon",56405,25.3
Oregon,"Congressional District 6 (119th Congress), Oregon",54070,22.3
Pennsylvania,"Congressional District 1 (119th Congress), Pennsylvania",66078,26.7
Pennsylvania,"Congressional District 2 (119th Congress), Pennsylvania",47035,16.3
Pennsylvania,"Congressional District 3 (119th Congress), Pennsylvania",55184,23.7
Pennsylvania,"Congressional District 4 (119th Congress), Pennsylvania",69569,29.1
Pennsylvania,"Congressional District 5 (119th Congress), Pennsylvania",56993,23.8
Pennsylvania,"Congressional District 6 (119th Congress), Pennsylvania",66014,27.8
Pennsylvania,"Congressional District 7 (119th Congress), Pennsylvania",51288,20.3
Pennsylvania,"Congressional District 8 (119th Congress), Pennsylvania",48702,16.3
Pennsylvania,"Congressional District 9 (119th Congress), Pennsylvania",49316,14.5
Pennsylvania,"Congressional District 10 (119th Congress), Pennsylvania",52864,21.4
Pennsylvania,"Congressional District 11 (119th Congress), Pennsylvania",55001,20.7
Pennsylvania,"Congressional District 12 (119th Congress), Pennsylvania",56581,25.5
Pennsylvania,"Congressional District 13 (119th Congress), Pennsylvania",47807,14.6
Pennsylvania,"Congressional District 14 (119th Congress), Pennsylvania",50225,17.7
Pennsylvania,"Congressional District 15 (119th Congress), Pennsylvania",45463,15.5
Pennsylvania,"Congressional District 16 (119th Congress), Pennsylvania",50323,19.4
Pennsylvania,"Congressional District 17 (119th Congress), Pennsylvania",60978,28.2
RhodeIsland,"Congressional District 1 (119th Congress), Rhode Island",55598,21.6
RhodeIsland,"Congressional District 2 (119th Congress), Rhode Island",60194,23.4
SouthCarolina,"Congressional District 1 (119th Congress), South Carolina",57488,27.6
SouthCarolina,"Congressional District 2 (119th Congress), South Carolina",50993,22.4
SouthCarolina,"Congressional District 3 (119th Congress), South Carolina",46895,17.1
SouthCarolina,"Congressional District 4 (119th Congress), South Carolina",51057,23.1
SouthCarolina,"Congressional District 5 (119th Congress), South Carolina",50924,19.5
SouthCarolina,"Congressional District 6 (119th Congress), South Carolina",43440,17.3
SouthCarolina,"Congressional District 7 (119th Congress), South Carolina",41935,14.9
SouthDakota,"Congressional District (at Large) (119th Congress), South Dakota",50954,23
Tennessee,"Congressional District 1 (119th Congress), Tennessee",41402,15.1
Tennessee,"Congressional District 2 (119th Congress), Tennessee",50786,21.1
Tennessee,"Congressional District 3 (119th Congress), Tennessee",49314,18.3
Tennessee,"Congressional District 4 (119th Congress), Tennessee",48979,16.6
Tennessee,"Congressional District 5 (119th Congress), Tennessee",60058,30.5
Tennessee,"Congressional District 6 (119th Congress), Tennessee",50544,19.3
Tennessee,"Congressional District 7 (119th Congress), Tennessee",52105,22.9
Tennessee,"Congressional District 8 (119th Congress), Tennessee",49946,19.4
Tennessee,"Congressional District 9 (119th Congress), Tennessee",43573,16.3
Texas,"Congressional District 1 (119th Congress), Texas",44478,16.3
Texas,"Congressional District 2 (119th Congress), Texas",60626,25.1
