Stem,Average Occurrence (Comedy),Average Occurrence (Thriller)
davi,0.108203676156,0.089092113852
feed,0.300378108574,0.290631998346
hudson,0.15498598318,0.118883733472
ambros,0.0,0.128829801366
digest,0.0627921053581,0.024557530539
redi,0.0,0.101251058645
fri,0.158408731712,0.068888436361
staff,0.16078375708,0.192573846642
casino,0.0528172719694,0.0887844967637
occasion,0.106957363366,0.0490205869899
shadow,0.132585500868,0.137361312865
work,8.7058217444,7.00749275189
restrain,0.079974272564,0.0245491945432
face,1.92823824407,1.47145658675
exercis,0.160636646156,0.0937194810772
sidnei,0.0885519713347,0.31799148445
pile,0.0617880490702,0.108670029135
whyd,0.266898395485,0.225859033081
teenag,0.232346123185,0.0883240814339
her,16.4753038454,14.6178684688
retir,0.176534281666,0.319973586748
hazard,0.0262317352187,0.0443413556943
roth,0.0,0.111687284749
hurrican,0.0176861284885,0.0294411492233
impuls,0.150969961933,0.138356807674
ranger,0.062283768314,0.0587969114459
pour,0.186751736335,0.117191486696
lester,0.196304734593,0.00962044630936
slash,0.0708975652897,0.0445970681802
deer,0.0446237742084,0.107807691756
could,10.4605003664,9.127908189
vital,0.0623462285973,0.0391800658031
qualiti,0.168165790896,0.0740407353077
coma,0.0715282426964,0.0693410876834
incred,0.556606601721,0.157909392004
hank,0.192167442131,0.0531422621248
famili,1.74340771863,1.68419553304
duchess,0.185778178526,0.0
global,0.0448601633878,0.0542475959448
virgin,0.267767096791,0.137036585707
scientif,0.0618892538111,0.093157766954
between,0.983109444962,0.996009953993
holidai,0.246816944291,0.137699351268
qualifi,0.106627396056,0.0933446350495
moor,0.0175835756942,0.0642469610714
happili,0.105784714015,0.0587828176536
arizona,0.0882902395336,0.0297543045158
non,0.0613854014202,0.0591242265978
bruce,0.017381460887,0.289556268063
ankl,0.0621121847763,0.0541043370845
constant,0.0889702150609,0.0441953862629
buzz,0.690206716295,0.0444264102459
harder,0.132711986972,0.0931972345095
ing,0.00887404815299,0.0648313615361
christian,0.0795640475751,0.117131162143
palmer,0.00910323360561,0.0930440575901
tent,0.0704447674147,0.113552257382
sunset,0.0704370409879,0.0344688201933
damour,0.0,0.106878631683
cohaagen,0.0,0.0746964877239
advertis,0.0979489823089,0.0294670519042
sensat,0.105991547484,0.0347028503317
local,0.239707305041,0.289975888407
there,23.9314057333,23.0034295595
terri,0.0792514014103,0.0882797173746
sedat,0.0,0.0687589255719
rotten,0.140949999544,0.0540808094515
struck,0.0976818875001,0.08410489084
deck,0.179710693359,0.16809997838
past,0.735122331343,0.594055010145
bro,0.0896991802476,0.059313246798
ann,0.585562990741,0.0929670992541
dump,0.433804653059,0.34350432736
kane,0.0532371209353,0.0437088118531
slot,0.0536040250266,0.0588307296905
immun,0.026118153553,0.0643726165469
block,0.328213957575,0.308633124646
lil,0.0720118122594,0.0548190965982
technic,0.142166960247,0.132718816934
tactic,0.0355406946848,0.0885927079465
pencil,0.0703826437551,0.0683948720317
outsid,0.855701428627,0.933746331497
laboratori,0.0542458456144,0.0487688705088
easi,1.71046311072,1.20194116504
nephew,0.0879959775751,0.0350531601124
coffin,0.0803935511295,0.0587693439676
pretti,2.92518341403,1.95275070239
coward,0.13422242658,0.0697177927114
verbal,0.0439243215453,0.0690772678977
permiss,0.0884847099547,0.151954356351
bartend,0.0269225505636,0.0788485688623
wont,4.24064079262,4.1881870041
watch,2.79665250364,2.19297539687
lindenmey,0.0,0.0879605381606
cosmo,0.173011570999,0.0
capabl,0.150254308294,0.211204475004
flirt,0.0887590004873,0.0341326547907
huge,0.27593897346,0.14805942149
berkelei,0.0601469877731,0.0488983867216
max,0.143578121647,0.529622905438
walter,1.62965657579,0.220688293595
lime,0.0,0.115590990245
rico,0.00906829077785,0.134399996634
marvin,0.141736055731,0.0148301464617
aboard,0.0710638173563,0.197590501923
bacon,0.0353574988712,0.0787215712411
account,0.505361874224,0.471740390053
kirk,0.0624311522362,0.182552455582
quaid,0.0,0.133845446771
stunt,0.114046265361,0.0588020460746
closet,0.0709153448137,0.127240004187
due,0.275706041926,0.281209466901
nuclear,0.215427282791,0.178189174547
blind,0.292395900692,0.305309640167
pussi,0.151439474323,0.247416367089
howdi,0.0797256755912,0.0544786425599
snuff,0.008739718183,0.067932013841
eas,0.140711145052,0.079263795152
now,18.3252592905,14.3827731493
leak,0.0804954466468,0.128443305219
underwear,0.132851545029,0.0587103983687
westlei,0.323715067523,0.0
mayb,7.37033468181,6.10543244188
theo,0.00873949579832,0.175390522405
limo,0.088304032918,0.0296259514443
cousin,0.408448464229,0.108340689795
illeg,0.215219051527,0.122168342891
silli,0.519592748334,0.210927320845
against,1.04724960019,1.00117937851
done,2.77944262515,2.57172222003
district,0.0534460965926,0.137485998932
invad,0.053279104041,0.0590643156811
ryan,0.246335427375,0.140114540112
wait,5.78262776852,3.55775939488
grudg,0.0438913629124,0.0396684978247
charact,0.292895070852,0.201245326161
hick,0.0707328687636,0.0944256790308
jami,0.0,0.194869789698
lifetim,0.176939932018,0.0937449359197
lecktor,0.0,0.162308082101
and,91.5840908693,62.6894275209
republican,0.0,0.0646283793538
life,6.18861455252,3.86540452275
hidden,0.115030923817,0.166642070059
wire,0.273660860955,0.394607329704
paranoia,0.0174559297151,0.063813488583
network,0.236902259357,0.124286339878
messi,0.0529856080864,0.0446063549516
uthatu,0.156374662632,0.0354323337972
effort,0.195447908481,0.103392805662
carri,0.779288580293,0.844370809539
windham,0.134134954795,0.0
fun,1.52350536459,0.564683214841
psychologist,0.0703089856567,0.0786287415671
sean,0.0173483945339,0.226223845067
scent,0.0,0.0831380128922
answer,1.01669761314,1.51086199083
mom,2.19315590285,1.29503703937
wake,0.647279021956,0.559549491124
sign,1.08036187416,0.869601818509
ho,0.223459787883,0.0443730024621
relat,0.319437647254,0.142800213948
jame,0.259488866744,0.305834987905
fat,0.51566711723,0.309772487708
myself,2.46993687843,1.50158593973
disrupt,0.0441507561113,0.0393885646873
scan,0.0349794790994,0.163134825186
vagu,0.0441264688856,0.0391799185814
basket,0.0352921192713,0.0436974090025
christma,0.595917087537,0.358711414949
estim,0.0799522272817,0.0886926629617
em,1.80254127425,2.08720577903
union,0.141852255509,0.113112188636
involv,0.450456982612,0.778575468012
norman,0.0966482210654,0.106176209784
suspici,0.142212199447,0.112778761593
becom,0.936735354645,0.67214603917
shoe,0.922187168403,0.290312300714
librari,0.143613574157,0.147232580629
administr,0.0800934320062,0.0494566701464
ford,0.0869864227762,0.0534513187682
complic,0.327116299205,0.146725630589
stuck,0.540274977773,0.319397007575
justic,0.132332405753,0.256266771999
attack,0.64852783174,0.607902857646
releas,0.203877922382,0.216870098434
econom,0.0440317769121,0.0347490411746
hesit,0.0530032953212,0.0540388716612
autopsi,0.00867259607888,0.088738268064
jurisdict,0.0089238777175,0.0738198401932
four,1.67100625889,1.70507228338
factor,0.0976201849159,0.0738496780131
inquiri,0.0,0.0597475062679
lion,0.0177990490633,0.194885281511
meanwhil,0.097528968929,0.0388775245599
prison,0.374791514917,0.629393720875
blair,0.00884885352058,0.0754729369737
seri,0.249669690879,0.108103265327
groceri,0.07990105102,0.0586978073139
surgeri,0.0624788267271,0.0990837613947
season,0.265688802589,0.152783679807
christi,0.159339904076,0.0447529302202
clean,0.838308989875,0.818520850593
ow,0.844074723256,0.508858940706
wrestl,0.10597861527,0.0792777139032
en,0.0351921850616,0.0445752510749
moral,0.185969209253,0.112695779576
hungri,0.502111956515,0.379044472508
cole,0.307859143924,0.149821372436
surfer,0.0262257761537,0.039432558379
sixteen,0.256744782482,0.108539795762
angl,0.0709390370621,0.136817378056
shame,0.266181425552,0.182450765226
barrel,0.115091495647,0.0396080133608
major,1.42207439898,0.395853240928
ago,1.99241453896,1.86575578388
lott,0.169121008606,0.0
airplan,0.0441104969032,0.0591185759977
worth,0.732962190128,0.830492295364
train,0.795422453854,0.712418105642
easili,0.114953297598,0.131902866748
feller,0.061327240034,0.0546370416596
valentin,0.106413057134,0.137806953061
harvei,0.0181851133178,0.0799254790468
wherev,0.175265272118,0.19166475037
francisco,0.0971737423288,0.202676140653
true,1.87839100129,1.04480553362
dramat,0.0711616633602,0.0586094329872
boston,0.17685018057,0.10328080225
besid,0.884253554916,0.582554407525
inspector,0.0899620526618,0.170471526838
orlean,0.00879765801612,0.11818641851
opportun,0.311148764253,0.186088802575
nearli,0.142576079729,0.152293297397
lindsei,0.0,0.0882224192037
photograph,0.204564587066,0.221976952973
frame,0.179276994322,0.137303965336
at,20.8627368962,15.3924403365
psychopath,0.0267053156603,0.0835110433907
press,0.454693074953,0.451410509674
youyou,0.0615324985633,0.0196964554302
havana,0.0260524767136,0.0599392737127
australia,0.0438906703656,0.0345233072163
plai,4.47848781357,2.24350325719
mayfield,0.0,0.140376961946
chick,0.639965253795,0.0934964865949
stewart,0.139259923161,0.0296995335175
seven,0.779298061421,0.635016366626
reflect,0.0624282945071,0.0780781910093
outer,0.0362562848237,0.0740087346077
vega,0.414879598094,0.194568374824
anywai,2.10784094594,1.47617351517
prime,0.0358922971538,0.113790715506
farmer,0.16715483406,0.0343203793606
backyard,0.0704646381739,0.0390106133118
joe,1.09150053894,0.316520923072
otherwis,0.301179411998,0.255139472719
cowgirl,0.183041668645,0.0
