Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Davion Mitchell,26,2TM,74,167,363,72,16,128,588
Bogdan Bogdanović,32,2TM,54,159,146,41,11,74,583
Mike Conley,37,MIN,71,182,319,79,14,75,582
Jose Alvarado,26,NOP,56,136,259,74,14,86,579
Deandre Ayton,26,POR,40,406,64,31,39,69,576
Luke Kennard,28,MEM,65,183,215,50,5,72,576
Johnny Juzang,23,UTA,64,184,68,39,8,36,571
Jaime Jaquez Jr.,23,MIA,66,290,166,61,14,98,570
Brandon Miller,22,CHO,27,131,98,29,20,76,568
Cason Wallace,21,OKC,68,229,173,120,35,59,568
Jalen Suggs,23,ORL,35,141,129,51,33,102,567
Ayo Dosunmu,25,CHI,46,161,208,43,18,69,566
Patrick Williams,23,CHI,63,237,124,48,32,86,566
Immanuel Quickley,25,TOR,33,117,191,23,4,58,564
Dalano Banton,25,POR,67,135,160,43,34,86,559
Peyton Watson,22,DEN,68,233,94,48,93,56,551
Dorian Finney-Smith,31,2TM,63,247,90,58,23,56,549
Justin Champagnie,23,WAS,62,351,60,65,39,54,544
Dejounte Murray,28,NOP,31,200,228,63,12,106,542
A.J. Green,25,MIL,73,174,108,37,7,40,541
Aaron Nesmith,25,IND,45,178,54,35,17,37,541
Jared Butler,24,2TM,60,110,220,42,13,80,541
Al Horford,38,BOS,60,369,128,36,51,46,538
Brandon Clarke,28,MEM,64,326,66,52,36,41,534
Tristan Da Silva,23,ORL,74,245,113,33,18,56,533
Jamal Shead,22,TOR,75,115,316,58,10,117,533
Ricky Council IV,23,PHI,73,214,97,32,13,52,532
Nick Richards,27,2TM,57,466,49,14,55,81,529
Jaden Ivey,22,DET,30,124,119,28,11,89,528
Jalen Smith,24,CHI,64,357,65,17,44,37,524
Tyrese Martin,25,BRK,60,219,122,34,9,74,523
Ron Holland,19,DET,81,218,82,49,17,72,522
Terance Mann,28,2TM,67,199,121,47,15,47,517
Ryan Dunn,22,PHO,74,267,57,44,40,40,511
Sam Merrill,28,CLE,71,157,108,53,14,35,509
Josh Green,24,CHO,68,172,108,74,15,70,506
Goga Bitadze,25,ORL,70,463,137,49,98,72,502
Chris Boucher,32,TOR,50,224,33,24,25,29,502
Cameron Payne,30,NYK,72,104,203,39,16,52,500
Jaden Hardy,22,DAL,57,89,81,28,5,82,496
Nikola Jović,21,MIA,46,180,131,38,13,60,494
Clint Capela,30,ATL,55,469,62,34,53,47,488
Chet Holmgren,22,OKC,32,257,63,23,71,56,479
Haywood Highsmith,28,MIA,74,252,112,68,37,54,478
Cam Whitmore,20,HOU,51,151,49,31,13,46,477
Kris Dunn,30,LAC,74,251,210,128,27,74,474
Max Strus,28,CLE,50,217,158,26,12,54,471
Jarace Walker,21,IND,75,229,110,54,25,78,461
Gabe Vincent,28,LAL,72,92,98,51,13,41,460
Jake LaRavia,23,2TM,66,259,158,62,23,86,458
Jusuf Nurkić,30,2TM,51,398,115,40,34,97,453
Joel Embiid,30,PHI,19,155,85,14,18,62,452
Trey Lyles,29,SAC,69,316,82,41,23,39,451
Trendon Watford,24,BRK,44,160,115,27,12,83,450
Ja'Kobe Walter,20,TOR,52,160,81,43,10,50,449
Brandon Boston Jr.,23,NOP,42,134,92,53,9,52,448
Simone Fontecchio,29,DET,75,215,65,31,12,54,446
Justin Edwards,21,PHI,44,148,69,45,16,49,445
Seth Curry,34,CHO,68,113,60,27,7,32,444
Luke Kornet,29,BOS,73,388,117,36,71,31,441
Khris Middleton,33,2TM,37,137,150,35,8,56,440
Jay Huff,26,MEM,64,129,38,16,56,34,439
Donovan Clingan,20,POR,67,527,77,34,110,72,436
Kenrich Williams,30,OKC,69,241,97,43,10,39,436
Isaiah Stewart,23,DET,72,399,123,28,101,68,435
Thomas Bryant,27,2TM,66,251,53,28,41,30,429
Noah Clowney,20,BRK,46,181,40,24,21,46,420
Jamison Battle,23,TOR,59,158,53,17,10,27,419
Jeremiah Robinson-Earl,24,NOP,66,315,88,39,7,51,418
Vit Krejci,24,ATL,57,156,147,36,26,50,412
Trayce Jackson-Davis,24,GSW,62,311,104,23,38,45,407
Zach Collins,27,2TM,64,288,111,29,29,60,407
Moussa Diabaté,23,CHO,71,438,56,46,40,61,403
Brandon Ingram,27,NOP,18,100,93,16,11,69,400
Gary Payton II,32,GSW,62,185,83,52,17,39,400
Day'Ron Sharpe,23,BRK,50,330,91,41,42,63,397
Jonathan Mogbo,23,TOR,63,311,146,55,34,70,389
Moritz Wagner,27,ORL,30,148,42,24,12,49,386
Sandro Mamukelashvili,25,SAS,61,187,48,22,17,26,385
Kelly Olynyk,33,2TM,44,206,128,33,19,76,384
Jaxson Hayes,24,LAL,56,269,58,31,51,43,383
Alex Caruso,30,OKC,54,159,137,87,30,37,382
Jonathan Isaac,27,ORL,71,314,40,61,80,33,380
Precious Achiuwa,25,NYK,57,317,55,47,42,45,379
Talen Horton-Tucker,24,CHI,58,100,83,21,11,40,379
Marcus Sasser,24,DET,57,69,133,37,4,54,375
Julian Phillips,21,CHI,79,169,39,38,20,27,366
Cody Martin,29,2TM,53,224,105,56,32,51,358
Kyle Anderson,31,2TM,61,206,145,40,33,37,357
Alec Burks,33,MIA,49,124,55,28,7,29,356
Caleb Martin,29,2TM,45,177,95,46,23,56,356
Garrison Mathews,28,ATL,47,87,60,26,15,31,353
Tidjane Salaün,19,CHO,60,280,74,29,14,58,353
Jared McCain,20,PHI,23,56,60,15,0,37,352
Ryan Rollins,22,MIL,56,108,104,42,17,53,349
Javonte Green,31,2TM,68,218,56,65,31,32,347
Kevon Looney,28,GSW,76,462,118,46,37,39,344
Aaron Holiday,28,HOU,62,78,83,19,11,37,340
Quinten Post,24,GSW,42,148,56,16,18,33,340
Bruce Brown,28,2TM,41,164,84,34,10,39,340
Adem Bona,21,PHI,58,245,27,26,69,61,337
Isaac Okoro,24,CLE,55,130,68,32,16,23,337
Svi Mykhailiuk,27,UTA,38,90,76,19,7,52,334
Mason Plumlee,34,PHO,74,455,134,33,47,59,333
Ben Sheppard,23,IND,63,177,85,38,14,22,332
Tristan Vukcevic,21,WAS,35,130,39,11,23,42,330
Tre Jones,25,2TM,46,116,192,37,10,35,330
Dalen Terry,22,CHI,73,124,97,44,15,53,326
Karlo Matković,23,NOP,42,209,46,22,41,43,325
Dean Wade,28,CLE,59,249,76,42,20,22,320
DaQuan Jeffries,27,CHO,47,135,53,26,25,35,315
Shake Milton,28,2TM,57,104,102,25,4,40,315
Dereck Lively II,20,DAL,36,270,85,20,56,41,314
Nicolas Batum,36,LAC,78,218,84,52,36,34,313
Jabari Walker,22,POR,60,211,37,33,6,34,313
Neemias Queta,25,BOS,62,236,45,18,42,40,310
Malcolm Brogdon,32,WAS,24,91,98,13,5,38,305
Antonio Reeves,24,NOP,44,63,39,21,4,30,305
Marcus Smart,30,2TM,34,72,109,39,9,54,305
Orlando Robinson,24,2TM,44,220,77,17,16,49,303
Andre Drummond,31,PHI,40,310,34,39,18,55,293
Kris Murray,24,POR,69,182,68,35,17,43,287
Landry Shamet,27,NYK,50,61,27,23,2,22,286
Jeff Dowtin Jr.,27,PHI,41,60,78,24,12,15,285
Josh Okogie,26,2TM,40,113,33,48,18,31,283
KJ Simpson,22,CHO,36,109,112,34,6,56,282
Drew Eubanks,27,2TM,61,226,54,12,39,41,280
Jaylin Williams,22,OKC,47,262,120,22,29,35,278
Brandon Williams,25,DAL,33,58,76,24,5,39,275
KJ Martin,24,2TM,43,125,48,17,22,24,274
Vasilije Micić,31,2TM,41,89,128,15,0,77,269
Lonzo Ball,27,CHI,35,118,115,47,17,41,267
Tosan Evbuomwan,23,BRK,28,120,55,24,10,39,267
Jett Howard,21,ORL,60,70,44,13,11,36,267
Eric Gordon,36,PHI,39,46,65,26,12,28,266
Lindy Waters III,27,2TM,52,110,52,27,11,20,256
Ben Simmons,28,2TM,51,241,285,38,23,102,256
Oso Ighodaro,22,PHO,61,222,71,28,29,39,255
Pelle Larsson,23,MIA,55,92,65,32,7,24,251
Lonnie Walker IV,26,PHI,20,63,50,10,5,25,247
Bol Bol,25,PHO,36,104,22,9,25,20,244
Caleb Houstan,22,ORL,58,75,35,22,6,13,239
A.J. Lawson,24,TOR,26,86,31,13,6,15,236
Malaki Branham,21,SAS,47,51,38,11,2,34,235
Ajay Mitchell,22,OKC,36,68,64,25,4,29,234
Monte Morris,29,PHO,45,67,73,20,3,21,233
Richaun Holmes,31,WAS,31,177,42,9,23,21,230
Andre Jackson Jr.,23,MIL,67,182,83,34,14,58,230
Cody Williams,20,UTA,50,113,59,23,16,44,230
Reed Sheppard,20,HOU,52,78,75,35,17,37,229
Gui Santos,22,GSW,56,172,80,25,10,42,227
Steven Adams,31,HOU,58,327,66,22,28,54,225
AJ Johnson,20,2TM,29,59,76,12,3,35,220
Rob Dillingham,20,MIN,49,50,98,20,1,53,219
Blake Wesley,21,SAS,58,61,114,37,6,54,217
Pat Connaughton,32,MIL,41,109,70,9,11,24,216
GG Jackson II,20,MEM,29,92,29,12,5,31,209
DeAndre Jordan,36,DEN,56,284,53,16,27,40,209
Herbert Jones,26,NOP,20,78,65,37,9,35,205
Larry Nance Jr.,32,ATL,24,103,38,20,13,16,203
Olivier-Maxence Prosper,22,DAL,52,126,40,26,6,14,201
Jock Landale,29,HOU,42,137,37,13,10,21,200
Jalen Pickett,25,DEN,49,71,107,19,5,24,200
Kai Jones,24,2TM,40,125,25,15,23,18,198
Mouhamed Gueye,22,ATL,33,139,27,28,33,15,197
Jamal Cain,25,NOP,37,85,22,23,9,22,196
Collin Gillespie,25,PHO,33,78,78,21,5,17,194
Duop Reath,28,POR,46,92,26,12,14,16,194
Craig Porter Jr.,24,CLE,51,67,71,17,15,38,188
Jae'Sean Tate,29,HOU,52,117,47,26,7,22,188
Zeke Nnaji,24,DEN,57,90,23,25,38,14,184
Paul Reed,25,DET,45,123,44,39,25,26,184
Tre Mann,23,CHO,13,38,39,7,4,25,183
Vince Williams Jr.,24,MEM,27,98,55,12,7,33,179
Cory Joseph,33,ORL,50,74,72,26,4,18,177
Dante Exum,29,DAL,20,33,56,12,3,22,174
Jeff Green,38,HOU,32,58,20,6,4,9,172
Kessler Edwards,24,DAL,40,115,42,19,20,16,168
Keaton Wallace,25,ATL,31,50,81,28,9,33,168
Jaylon Tyson,22,CLE,47,96,44,13,3,26,167
