DATE,NEI,NEI+PTER,PTER
2018-10-01,7.6283077276,8.51378018867,0.88547246107
2019-01-01,7.65314002354,8.59523152432,0.94209150078
2019-04-01,7.5037455915,8.37168832457,0.86794273307
2019-07-01,7.43119468106,8.21075736314,0.77956268208
2019-10-01,7.29553128471,8.0928462502,0.79731496549
2020-01-01,7.61417132707,8.59173552435,0.97756419728
2020-04-01,14.1134309823,16.1137503232,2.0003193409
2020-07-01,10.9664611357,12.3344055425,1.3679444068
2020-10-01,9.27252190142,10.486321293,1.21379939158
2021-01-01,8.86949613221,10.0666757295,1.19717959729
2021-04-01,8.68181957302,9.66309042489,0.98127085187
2021-07-01,8.21150590055,9.01537913263,0.80387323208
2021-10-01,7.77864237328,8.54884257802,0.77020020474
2022-01-01,7.62687945984,8.45286135122,0.82598189138
